SampleID,Site,EcologicalStatus,Treatment,Block,SoilPortion,pH_avg,Temperature_avg,Redox_avg,Moisture_avg,Salinity,NO3,NO2,PO4,NH4
100_run1_TRUG_NAT_RZ,TRUG,Natural,NATURAL,Natural,RZ,5.633333333,12.83333333,111.3333333,0.628675,6.9,0.02,0.045,1.473158552,52.58426966
99_run2_ACP_NAT_RZ,ACP,Natural,NATURAL,Natural,RZ,6.7,14.3,289.3333333,0.6197,8.61,0.04,0.061,3.09071397,16.89792311
98_run1_TRUG_NAT_RZ,TRUG,Natural,NATURAL,Natural,RZ,6.4,12.41666667,151.3333333,0.55587,6.36,0.02,0.055,0.739756972,66.51358497
97_run2_TRUG_BARE_RZ,TRUG,Managed,BARE,2,RZ,7.1,16.93333333,260,0.385566667,11.57,0.35,0.035,0.133744474,1.22351426
96_run2_ACP_BARE_RZ,ACP,Managed,BARE,5,RZ,7.1,18.3,130.6666667,0.568683333,2.21,0.12,0.025,0.568875464,3.030646278
95_run2_BASS_NAT_RZ,BASS,Natural,NATURAL,Natural,RZ,5.6,14.1,-51.33333333,0.638941667,6.89,0.05,0.055,0.158757721,39.50586659
94_run2_ACP_BARE_RZ,ACP,Managed,BARE,1,RZ,6.766666667,16.36666667,-74.66666667,0.559461667,2.21,0.11,0.035,0.5800766,13.0393287
93_run2_ACP_NAT_RZ,ACP,Natural,NATURAL,Natural,RZ,6.033333333,14.43333333,300,0.593893333,4.43,0.11,0.06,3.294328091,19.21939828
91_run2_BASS_BARE_RZ,BASS,Managed,BARE,5,RZ,6.233333333,17.76666667,59.33333333,0.630033333,8.03,0.11,0.025,0.321119906,9.718894645
90_run1_TRUG_NAT_RZ,TRUG,Natural,NATURAL,Natural,RZ,5.533333333,12.86666667,96.33333333,0.55521,6.89,0.02,0.075,1.147327249,71.20382442
9_run2_BASS_BARE_BS,BASS,Managed,BARE,4,RZ,6.3,18,384,0.649213333,7.76,0.02,0.11,0.343612664,4.4121858
89_run2_ACP_BESE_RZ,ACP,Managed,BESE,2,RZ,7.333333333,14.7,110.3333333,0.40834,7.89,0.18,0.045,3.253093702,13.11779914
88_run2_BASS_NAT_RZ,BASS,Natural,NATURAL,Natural,RZ,5.933333333,14.46666667,113.3333333,0.580426667,5.45,0.02,0.119,0.447666538,43.95587998
87_run2_BASS_NAT_RZ,BASS,Natural,NATURAL,Natural,RZ,5.8,14.6,-65,0.576776667,4.9,0.28,0.205,0.548820037,34.92491144
86_run2_ACP_BESE_RZ,ACP,Managed,BESE,5,RZ,6.933333333,16.66666667,144.3333333,0.596566667,2.07,0.05,0.025,0.34667705,8.109228392
85_run2_TRUG_BESE_RZ,TRUG,Managed,BESE,4,RZ,7.666666667,16.06666667,268.3333333,0.263543333,4.14,0.28,0.025,0.320124048,1.855719091
84_run2_TRUG_BARE_RZ,TRUG,Managed,BARE,3,RZ,7.2,15.23333333,223.3333333,0.373013333,6.65,0.19,0.02,0.129959388,0.619806311
83_run2_BASS_BARE_RZ,BASS,Managed,BARE,3,RZ,6.366666667,18.6,292.3333333,0.515775,5.63,0.91,0.04,0.125955689,1.884297104
82_run1_TRUG_BARE_RZ,TRUG,Managed,BARE,1,RZ,7.033333333,16.36666667,237.6666667,0.405226667,9.37,0.23,0.254,0.448391396,1.718833684
81_run2_BASS_BESE_RZ,BASS,Managed,BESE,5,RZ,6.266666667,16.4,38,0.62576,7.32,0.02,0.04,0.467084364,5.810931281
80_run2_BASS_BESE_RZ,BASS,Managed,BESE,3,RZ,6.833333333,16.43333333,269.3333333,0.539756667,6.26,1.97,0.075,0.201207243,1.559356137
8_run2_ACP_BARE_BS,ACP,Managed,BARE,2,BS,6.466666667,17.43333333,116.6666667,0.545286667,2.15,0.02,0.04,1.031161188,3.676969895
79_run2_TRUG_BARE_RZ,TRUG,Managed,BARE,4,RZ,7.566666667,17.36666667,226.6666667,0.302743333,8.37,0.52,0.045,0.2523472,0.529434322
78_run2_ACP_BESE_RZ,ACP,Managed,BESE,1,RZ,6.866666667,15.03333333,-30,0.419243333,5.66,0.02,0.035,0.512826896,23.20666177
77_run2_BASS_BESE_RZ,BASS,Managed,BESE,1,RZ,6.3,14.53333333,265.3333333,0.421763333,6.53,1.34,0.134,0.252631579,4.195665635
76_run2_ACP_BESE_RZ,ACP,Managed,BESE,3,RZ,7.266666667,15.03333333,103.6666667,0.59731,2.25,0.07,0.025,0.245558646,17.07885439
75_run2_BASS_NAT_RZ,BASS,Natural,NATURAL,Natural,RZ,5.9,14.7,149.3333333,0.415425,5.79,0.02,0.125,0.234171618,30.6266582
74_run2_BASS_BESE_RZ,BASS,Managed,BESE,2,RZ,5.566666667,15.33333333,285.3333333,0.551286667,8.33,0.66,0.06,0.290010875,4.205157693
73_run2_ACP_BARE_RZ,ACP,Managed,BARE,4,RZ,7.4,17.56666667,70.66666667,0.568041667,2.46,0.09,0.025,0.11401802,4.04516105
72_run1_TRUG_NAT_RZ,TRUG,Natural,NATURAL,Natural,RZ,5.833333,12.96667,159,0.635293,7.07,0.02,0.08,5.615297,53.98479
71_run1_BASS_BARE_RZ,BASS,Managed,BARE,2,RZ,5.7,15.76666667,300,0.475613333,8.83,2.13,0.183,0.370942813,3.224729521
70_run1_BASS_NAT_RZ,BASS,Natural,NATURAL,Natural,RZ,5.733333333,14.06666667,25,0.620468333,6.17,0.02,0.105,0.200586716,29.76706868
7_run2_ACP_DEG_BS,ACP,Managed,DEGRADED,4,BS,7.633333333,17.73333333,73.33333333,0.449351667,2.91,0.02,0.03,0.050144793,1.955646931
69_run2_BASS_BESE_RZ,BASS,Managed,BARE,4,RZ,6.3,18,384,0.649213333,7.76,0.02,0.11,0.343612664,4.4121858
68_run1_TRUG_BESE_RZ,TRUG,Managed,BESE,5,RZ,8.2,15.8,182,0.628543333,7.23,0.22,0.02,0.546869174,4.13631957
67_run2_TRUG_BESE_RZ,TRUG,Managed,BESE,2,RZ,7.2,16.46666667,242.3333333,0.340943333,7.65,0.35,0.02,0.069570403,1.306929709
66_run1_TRUG_BESE_RZ,TRUG,Managed,BESE,1,RZ,7.633333333,15.13333333,226.6666667,0.435233333,6.54,0.66,0.104,2.014038743,22.5115956
65_run2_BASS_BARE_RZ,BASS,Managed,BARE,4,RZ,6.3,18,384,0.649213333,7.76,0.02,0.11,0.343612664,4.4121858
64_run2_TRUG_BESE_RZ,TRUG,Managed,BESE,3,RZ,7.466666667,15.06666667,239,0.379866667,4.28,0.36,0.02,0.322636686,1.950711042
63_run1_BASS_BARE_RZ,BASS,Managed,BARE,1,RZ,6.033333333,15.66666667,256,0.41671,7.49,1.23,0.146,1.10066267,2.029662354
60_run2_TRUG_BARE_BS,TRUG,Managed,BARE,1,BS,7.033333333,16.36666667,237.6666667,0.405226667,9.37,0.23,0.254,0.448391396,1.718833684
6_run2_ACP_BARE_BS,ACP,Managed,BARE,1,BS,6.766666667,16.36666667,-74.66666667,0.559461667,2.21,0.11,0.035,0.5800766,13.0393287
59_run2_TRUG_DEG_BS,TRUG,Managed,DEGRADED,1,BS,7.066666667,16.76666667,214,0.374166667,6.31,0.46,0.035,0.399022395,1.680881839
58_run2_TRUG_BARE_BS,TRUG,Managed,BARE,5,BS,7.566666667,16.36666667,250.6666667,0.355066667,3.69,0.18,0.04,1.132511269,2.145810826
57_run2_TRUG_BESE_BS,TRUG,Managed,BESE,1,BS,7.633333333,15.13333333,226.6666667,0.435233333,6.54,0.66,0.104,2.014038743,22.5115956
56_run1_ACP_NAT_BS,ACP,Natural,NATURAL,Natural,BS,6.7,14.3,289.3333333,0.6197,8.61,0.04,0.061,3.09071397,16.89792311
55_run1_TRUG_NAT_BS,TRUG,Natural,NATURAL,Natural,BS,5.533333333,12.86666667,96.33333333,0.55521,6.89,0.02,0.075,1.147327249,71.20382442
54_run1_TRUG_NAT_BS,TRUG,Natural,NATURAL,Natural,BS,5.833333333,12.96666667,159,0.635293333,7.07,0.02,0.08,5.615297189,53.98478774
53_run2_ACP_DEG_BS,ACP,Managed,DEGRADED,2,BS,7,17.76666667,47.66666667,0.56343,2.45,0.06,0.025,0.099344327,2.155771905
52_run2_TRUG_BESE_BS,TRUG,Managed,BESE,5,BS,8.2,15.8,182,0.628543333,7.23,0.22,0.02,0.546869174,4.13631957
51_run2_BASS_BARE_BS,BASS,Managed,BARE,1,BS,6.033333333,15.66666667,256,0.41671,7.49,1.23,0.146,1.10066267,2.029662354
50_run1_TRUG_NAT_BS,TRUG,Natural,NATURAL,Natural,BS,5.966666667,12.7,97.33333333,0.615618333,7.17,0.02,0.075,1.244508606,41.49689495
5_run2_BASS_DEG_BS,BASS,Managed,DEGRADED,4,BS,6.133333333,18.33333333,58,0.55012,7.15,0.02,0.025,0.618844572,5.051381709
49_run2_TRUG_BESE_BS,TRUG,Managed,BESE,3,BS,7.466666667,15.06666667,239,0.379866667,4.28,0.36,0.02,0.322636686,1.950711042
47_run2_ACP_BESE_BS,ACP,Managed,BESE,1,BS,6.866666667,15.03333333,-30,0.419243333,5.66,0.02,0.035,0.512826896,23.20666177
46_run2_TRUG_DEG_BS,TRUG,Managed,DEGRADED,3,BS,7.666666667,15.5,191,0.343766667,4.45,0.24,0.03,0.123862018,0.792716913
45_run1_BASS_NAT_BS,BASS,Natural,NATURAL,Natural,BS,5.6,14.1,-51.33333333,0.638941667,6.89,0.05,0.055,0.158757721,39.50586659
44_run2_TRUG_DEG_BS,TRUG,Managed,DEGRADED,5,BS,7.966666667,16.66666667,236,0.3241,7.39,0.25,0.045,0.600375235,1.62601626
43_run1_BASS_NAT_BS,BASS,Natural,NATURAL,Natural,BS,5.733333333,14.06666667,25,0.620468333,6.17,0.02,0.105,0.200586716,29.76706868
42_run2_BASS_BESE_BS,BASS,Managed,BESE,5,BS,6.266666667,16.4,38,0.62576,7.32,0.02,0.04,0.467084364,5.810931281
41_run2_BASS_BESE_BS,BASS,Managed,BESE,1,BS,6.3,14.53333333,265.3333333,0.421763333,6.53,1.34,0.134,0.252631579,4.195665635
40_run2_BASS_BARE_BS,BASS,Managed,BARE,5,BS,6.233333333,17.76666667,59.33333333,0.630033333,8.03,0.11,0.025,0.321119906,9.718894645
39_run1_BASS_NAT_BS,BASS,Natural,NATURAL,Natural,BS,5.933333333,14.46666667,113.3333333,0.580426667,5.45,0.02,0.119,0.447666538,43.95587998
38_run2_ACP_DEG_BS,ACP,Managed,DEGRADED,3,BS,6.666666667,17.63333333,30.33333333,0.548158333,3.25,0.28,0.1,0.094785548,1.267133111
37_run2_BASS_DEG_BS,BASS,Managed,DEGRADED,3,BS,5.333333333,19.46666667,283.6666667,0.535176667,8.48,0.53,0.08,0.154246122,2.532621811
36_run2_BASS_BARE_BS,BASS,Managed,BARE,2,BS,5.7,15.76666667,300,0.475613333,8.83,2.13,0.183,0.370942813,3.224729521
35_run2_BASS_BARE_BS,BASS,Managed,BARE,3,BS,6.366666667,18.6,292.3333333,0.515775,5.63,0.91,0.04,0.125955689,1.884297104
34_run1_ACP_NAT_BS,ACP,Natural,NATURAL,Natural,BS,6.4,14,294.3333333,0.47587,5.32,0.04,0.025,0.627427547,22.57743253
33_run2_BASS_DEG_BS,BASS,Managed,DEGRADED,2,BS,5.9,18.1,307,0.538023333,9.27,3.64,0.055,0.060263653,2.495919648
32_run1_BASS_NAT_BS,BASS,Natural,NATURAL,Natural,BS,5.8,14.6,-65,0.576776667,4.9,0.28,0.205,0.548820037,34.92491144
31_run2_BASS_DEG_BS,BASS,Managed,DEGRADED,1,BS,6.366666667,16.43333333,267,0.49388,7.71,2.78,0.04,0.164048519,2.570093458
30_run1_ACP_NAT_BS,ACP,Natural,NATURAL,Natural,BS,5.8,13.63333333,319.6666667,0.597286667,6.68,0.02,0.025,1.1417506,22.70423881
3_run2_ACP_BARE_BS,ACP,Managed,BARE,4,BS,7.4,17.56666667,70.66666667,0.568041667,2.46,0.09,0.025,0.11401802,4.04516105
29_run1_TRUG_NAT_BS,TRUG,Natural,NATURAL,Natural,BS,6.4,12.41666667,151.3333333,0.55587,6.36,0.02,0.055,0.739756972,66.51358497
28_run1_TRUG_NAT_BS,TRUG,Natural,NATURAL,Natural,BS,5.633333333,12.83333333,111.3333333,0.628675,6.9,0.02,0.045,1.473158552,52.58426966
27_run2_ACP_BARE_BS,ACP,Managed,BARE,5,BS,7.1,18.3,130.6666667,0.568683333,2.21,0.12,0.025,0.568875464,3.030646278
26_run2_TRUG_BARE_BS,TRUG,Managed,BARE,4,BS,7.566666667,17.36666667,226.6666667,0.302743333,8.37,0.52,0.045,0.2523472,0.529434322
25_run2_BASS_BESE_BS,BASS,Managed,BESE,2,BS,5.566666667,15.33333333,285.3333333,0.551286667,8.33,0.66,0.06,0.290010875,4.205157693
24_run2_ACP_DEG_BS,ACP,Managed,DEGRADED,1,BS,6.566666667,16.73333333,92.33333333,0.48927,2.77,0.04,0.025,0.153353368,6.366638222
23_run2_TRUG_BESE_BS,TRUG,Managed,BESE,2,BS,7.2,16.46666667,242.3333333,0.340943333,7.65,0.35,0.02,0.069570403,1.306929709
22_run2_TRUG_BARE_BS,TRUG,Managed,BARE,2,BS,7.1,16.93333333,260,0.385566667,11.57,0.35,0.035,0.133744474,1.22351426
21_run2_ACP_NAT_BS,ACP,Natural,NATURAL,Natural,BS,6.7,13.76666667,284,0.599576667,6.45,0.03,0.025,2.24870363,18.04946151
20_run2_TRUG_BARE_BS,TRUG,Managed,BARE,3,BS,7.2,15.23333333,223.3333333,0.373013333,6.65,0.19,0.02,0.129959388,0.619806311
2_run2_BASS_BESE_BS,BASS,Managed,BESE,4,BS,6.266666667,16.4,47,0.658743333,7.29,0.03,0.02,0.344066719,6.627024197
19_run2_TRUG_DEG_BS,TRUG,Managed,DEGRADED,4,BS,7.6,17.33333333,126,0.25796,9.77,0.14,0.02,0.365887277,0.210510488
18_run2_ACP_BESE_BS,ACP,Managed,BESE,2,BS,7.333333333,14.7,110.3333333,0.40834,7.89,0.18,0.045,3.253093702,13.11779914
17_run2_TRUG_BESE_BS,TRUG,Managed,BESE,4,BS,7.666666667,16.06666667,268.3333333,0.263543333,4.14,0.28,0.025,0.320124048,1.855719091
16_run2_BASS_BESE_BS,BASS,Managed,BESE,3,BS,6.833333333,16.43333333,269.3333333,0.539756667,6.26,1.97,0.075,0.201207243,1.559356137
15_run2_ACP_BESE_BS,ACP,Managed,BESE,3,BS,7.266666667,15.03333333,103.6666667,0.59731,2.25,0.07,0.025,0.245558646,17.07885439
14_run2_ACP_NAT_BS,ACP,Natural,NATURAL,Natural,BS,6.033333333,14.43333333,300,0.593893333,4.43,0.11,0.06,3.294328091,19.21939828
13_run2_ACP_BESE_BS,ACP,Managed,BESE,5,BS,6.933333333,16.66666667,144.3333333,0.596566667,2.07,0.05,0.025,0.34667705,8.109228392
12_run2_ACP_DEG_BS,ACP,Managed,DEGRADED,5,BS,7.333333333,18.3,53.33333333,0.58241,2.85,0.02,0.04,0.12145288,1.487797781
11_run2_ACP_BESE_BS,ACP,Managed,BESE,4,BS,6.966666667,15.76666667,111.3333333,0.520868333,2.2,0.03,0.025,0.90634065,23.84871083
108_run1_TRUG_NAT_RZ,TRUG,Natural,NATURAL,Natural,RZ,5.966666667,12.7,97.33333333,0.615618333,7.17,0.02,0.075,1.244508606,41.49689495
107_run2_ACP_NAT_RZ,ACP,Natural,NATURAL,Natural,RZ,6.7,13.76666667,284,0.599576667,6.45,0.03,0.025,2.24870363,18.04946151
106_run2_ACP_BESE_RZ,ACP,Managed,BESE,4,RZ,6.966666667,15.76666667,111.3333333,0.520868333,2.2,0.03,0.025,0.90634065,23.84871083
105_run2_ACP_NAT_RZ,ACP,Natural,NATURAL,Natural,RZ,5.8,13.63333333,319.6666667,0.597286667,6.68,0.02,0.025,1.1417506,22.70423881
104_run1_ACP_NAT_RZ,ACP,Natural,NATURAL,Natural,RZ,6.4,14,294.3333333,0.47587,5.32,0.04,0.025,0.627427547,22.57743253
103_run2_ACP_BARE_RZ,ACP,Managed,BARE,2,RZ,6.466666667,17.43333333,116.6666667,0.545286667,2.15,0.02,0.04,1.031161188,3.676969895
102_run1_TRUG_BARE_RZ,TRUG,Managed,BARE,5,RZ,7.566666667,16.36666667,250.6666667,0.355066667,3.69,0.18,0.04,1.132511269,2.145810826
101_run2_ACP_BARE_RZ,ACP,Managed,BARE,3,RZ,6.666666667,17.46666667,-30.66666667,0.415758333,2.57,0.06,0.025,0.815071319,3.520308027
10_run2_ACP_BARE_BS,ACP,Managed,BARE,3,BS,6.666666667,17.46666667,-30.66666667,0.415758333,2.57,0.06,0.025,0.815071319,3.520308027
1_run2_BASS_DEG_BS,BASS,Managed,DEGRADED,5,BS,6.333333333,17.56666667,76,0.616736667,8.44,0.18,0.139,0.387149611,13.32191738